Feature:,Collapse Group:,Notes:
mh_AA repair,Abdominal aortic aneurysm (AAA),"AAA = abdominal aortic aneurysm. ""mh_aneurysm"" alone is ambiguous (could be aortic or cerebral)"
mh_AAA,Abdominal aortic aneurysm (AAA),"AAA = abdominal aortic aneurysm. ""mh_aneurysm"" alone is ambiguous (could be aortic or cerebral)"
mh_abdominal aortic aneurysm-s/p sx,Abdominal aortic aneurysm (AAA),"AAA = abdominal aortic aneurysm. ""mh_aneurysm"" alone is ambiguous (could be aortic or cerebral)"
mh_Alcohol abuse,Alcohol abuse,"EtOH = ethanol/alcohol, standard medical shorthand"
mh_EtOH,Alcohol abuse,"EtOH = ethanol/alcohol, standard medical shorthand"
mh_EtOH abuse,Alcohol abuse,"EtOH = ethanol/alcohol, standard medical shorthand"
mh_alcohol abuse,Alcohol abuse,"EtOH = ethanol/alcohol, standard medical shorthand"
mh_Alzheimer's,Alzheimer's disease,"Alzheimer's, including compound entries like ""Alzheimer's depression"" and ""early Alzheimers"""
mh_Alzheimers,Alzheimer's disease,"Alzheimer's, including compound entries like ""Alzheimer's depression"" and ""early Alzheimers"""
mh_alzheimer's,Alzheimer's disease,"Alzheimer's, including compound entries like ""Alzheimer's depression"" and ""early Alzheimers"""
mh_early Alzheimers,Alzheimer's disease,"Alzheimer's, including compound entries like ""Alzheimer's depression"" and ""early Alzheimers"""
mh_Alzheimer's depression,Alzheimer's disease; Depression,
mh_Anemia,Anemia,
mh_anemic,Anemia,
mh_chronic anemia,Anemia,
mh_anemia,Anemia,
mh_aortic anersym,Aortic aneurysm,"AAA = abdominal aortic aneurysm. ""mh_aneurysm"" alone is ambiguous (could be aortic or cerebral). "
mh_aortic aneurysm,Aortic aneurysm,"AAA = abdominal aortic aneurysm. ""mh_aneurysm"" alone is ambiguous (could be aortic or cerebral). "
mh_A Fib,Atrial fibrillation (A Fib),A Fib = atrial fibrillation (irregular heartbeat). Includes a row noting Coumadin (a blood thinner) prescribed for A Fib
mh_A fib,Atrial fibrillation (A Fib),A Fib = atrial fibrillation (irregular heartbeat). Includes a row noting Coumadin (a blood thinner) prescribed for A Fib
mh_A. Fib,Atrial fibrillation (A Fib),A Fib = atrial fibrillation (irregular heartbeat). Includes a row noting Coumadin (a blood thinner) prescribed for A Fib
mh_A. fib,Atrial fibrillation (A Fib),A Fib = atrial fibrillation (irregular heartbeat). Includes a row noting Coumadin (a blood thinner) prescribed for A Fib
mh_Afib,Atrial fibrillation (A Fib),A Fib = atrial fibrillation (irregular heartbeat). Includes a row noting Coumadin (a blood thinner) prescribed for A Fib
mh_on Coumadin for A Fib,Atrial fibrillation (A Fib),A Fib = atrial fibrillation (irregular heartbeat). Includes a row noting Coumadin (a blood thinner) prescribed for A Fib
mh_A. fib (pacemaker) - 2007; high cholesterol),Atrial fibrillation (A Fib); High cholesterol / hyperlipidemia,
mh_Bladder cancer with mets,Bladder cancer,
mh_bladder cancer,Bladder cancer,
mh_bladder cancer diagnosed 11/04,Bladder cancer,
mh_Breast cancer,Breast cancer,
mh_Masectomy,Breast cancer,
mh_breast cancer,Breast cancer,
mh_breast cancer(s/p mastectomy),Breast cancer,
mh_Cardiomyopathy,Cardiomyopathy,Structural heart muscle disease.
mh_cardiomyopathy,Cardiomyopathy,Structural heart muscle disease.
"oc_""laser for cataract surgery""",Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataract surgery,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts surgery,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataract,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts (no surgery),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts (no surgery),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_develop cataract,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_senile cataracts (no surgery),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_radiation cataracts,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts (OD),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts (OD),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
